,biomark_neural_panel,confident_rbp,gencode_id,gene_name,gene_status,gene_type,havana_gene,level,rbp,ribosomal,ribosomal_subunit,synapse,tag,transcript_id,transcript_name,transcript_status,transcript_type,transcription_factor
ENSG00000233866,False,False,ENSG00000233866.1,LA16c-4G1.3,KNOWN,lincRNA,OTTHUMG00000140195.1,2,False,False,False,False,,ENSG00000233866.1,LA16c-4G1.3,KNOWN,lincRNA,False
ENSG00000229286,False,False,ENSG00000229286.1,LA16c-4G1.4,KNOWN,pseudogene,OTTHUMG00000140193.1,2,False,False,False,False,,ENSG00000229286.1,LA16c-4G1.4,KNOWN,pseudogene,False
ENSG00000235265,False,False,ENSG00000235265.1,LA16c-4G1.5,KNOWN,pseudogene,OTTHUMG00000140197.1,2,False,False,False,False,,ENSG00000235265.1,LA16c-4G1.5,KNOWN,pseudogene,False
ENSG00000223875,False,False,ENSG00000223875.1,NBEAP3,KNOWN,pseudogene,OTTHUMG00000140196.1,2,False,False,False,False,,ENSG00000223875.1,NBEAP3,KNOWN,pseudogene,False
ENSG00000215270,False,False,ENSG00000215270.3,LA16c-60H5.7,KNOWN,pseudogene,OTTHUMG00000140200.1,1,False,False,False,False,pseudo_consens,ENSG00000215270.3,LA16c-60H5.7,KNOWN,pseudogene,False
ENSG00000206195,False,False,ENSG00000206195.6,AP000525.9,NOVEL,processed_transcript,OTTHUMG00000185288.2,2,False,False,False,False,,ENSG00000206195.6,AP000525.9,NOVEL,processed_transcript,False
ENSG00000271672,False,False,ENSG00000271672.1,DUXAP8,KNOWN,pseudogene,OTTHUMG00000140194.3,1,False,False,False,False,pseudo_consens,ENSG00000271672.1,DUXAP8,KNOWN,pseudogene,False
ENSG00000272872,False,False,ENSG00000272872.1,LL22NC03-N14H11.1,NOVEL,sense_intronic,OTTHUMG00000186093.1,2,False,False,False,False,,ENSG00000272872.1,LL22NC03-N14H11.1,NOVEL,sense_intronic,False
ENSG00000232775,False,False,ENSG00000232775.2,AP000525.10,KNOWN,pseudogene,OTTHUMG00000140198.3,2,False,False,False,False,,ENSG00000232775.2,AP000525.10,KNOWN,pseudogene,False
ENSG00000271127,False,False,ENSG00000271127.1,LL22NC03-N64E9.1,NOVEL,sense_intronic,OTTHUMG00000185289.1,2,False,False,False,False,,ENSG00000271127.1,LL22NC03-N64E9.1,NOVEL,sense_intronic,False
ENSG00000225255,False,False,ENSG00000225255.2,LA16c-83F12.6,NOVEL,lincRNA,OTTHUMG00000140260.2,1,False,False,False,False,,ENSG00000225255.2,LA16c-83F12.6,NOVEL,lincRNA,False
ENSG00000235992,False,False,ENSG00000235992.1,GRAMD4P2,KNOWN,pseudogene,OTTHUMG00000155641.1,1,False,False,False,False,pseudo_consens,ENSG00000235992.1,GRAMD4P2,KNOWN,pseudogene,False
ENSG00000241838,False,False,ENSG00000241838.2,LA16c-3G11.7,KNOWN,pseudogene,OTTHUMG00000140315.1,1,False,False,False,False,pseudo_consens,ENSG00000241838.2,LA16c-3G11.7,KNOWN,pseudogene,False
