,gene_type,gene_name,gencode_transcript,ensembl_transcript,ensembl_gene,gencode_gene,splice_type,biomark_neural_panel,confident_rbp,rbp,ribosomal,ribosomal_subunit,synapse,transcription_factor,one_ensembl_id
chr22:16187165:16187302:-@chr22:16186946|16186953:16186811:-,processed_transcript,AP000525.9,"ENST00000458623.1,ENST00000383038.3,ENST00000447898.1,ENST00000437781.1,ENST00000413768.1","ENST00000447898,ENST00000383038,ENST00000437781,ENST00000458623,ENST00000413768",ENSG00000206195,ENSG00000206195.6,A3SS,False,False,False,False,False,False,False,ENSG00000206195
chr22:16189032:16189143:-@chr22:16187278|16187302:16187165:-,processed_transcript,AP000525.9,"ENST00000383038.3,ENST00000447898.1,ENST00000437781.1,ENST00000413768.1","ENST00000447898,ENST00000383038,ENST00000437781,ENST00000413768",ENSG00000206195,ENSG00000206195.6,A3SS,False,False,False,False,False,False,False,ENSG00000206195
chr22:16190681:16190791:-@chr22:16189378|16189411:16189264:-,processed_transcript,AP000525.9,"ENST00000383038.3,ENST00000447898.1,ENST00000437781.1,ENST00000413768.1","ENST00000447898,ENST00000383038,ENST00000437781,ENST00000413768",ENSG00000206195,ENSG00000206195.6,A3SS,False,False,False,False,False,False,False,ENSG00000206195
chr22:16455250:16455438:-@chr22:16454933:16455249:-,,,,,,,TANDEMUTR,,,,,,,,
chr22:16598138:16598344:-@chr22:16596905:16598137:-,,,,,,,TANDEMUTR,,,,,,,,
chr22:16950841:16951225:+@chr22:16951226:16952202:+,,,,,,,TANDEMUTR,,,,,,,,
chr22:17565849:17566119:+@chr22:17577952:17577976:+@chr22:17578687:17578833:+,protein_coding,IL17RA,"ENST00000319363.6,ENST00000477874.1","ENST00000319363,ENST00000477874",ENSG00000177663,ENSG00000177663.9,SE,False,False,False,False,False,False,False,ENSG00000177663
chr22:17602485:17602929:+@chr22:17603459:17603628:+@chr22:17605545:17605661:+,protein_coding,AC006946.15,"ENST00000441544.1,ENST00000428078.1","ENST00000428078,ENST00000441544",ENSG00000235478,ENSG00000235478.1,SE,False,False,False,False,False,False,False,ENSG00000235478
chr22:17621949:17622123:-@chr22:17619440:17619628:-@chr22:17618410:17619247:-,protein_coding,CECR5,"ENST00000486462.1,ENST00000399852.3,ENST00000155674.5,ENST00000336737.4,ENST00000477157.1","ENST00000477157,ENST00000486462,ENST00000155674,ENST00000336737,ENST00000399852",ENSG00000069998,ENSG00000069998.8,SE,False,False,False,False,False,False,False,ENSG00000069998
chr22:17639347:17640058:-@chr22:17630432:17630635:-@chr22:17629338:17629450:-,protein_coding,CECR5,"ENST00000480451.1,ENST00000336737.4,ENST00000463033.1,ENST00000155674.5","ENST00000463033,ENST00000480451,ENST00000336737,ENST00000155674",ENSG00000069998,ENSG00000069998.8,SE,False,False,False,False,False,False,False,ENSG00000069998
chr22:17640279:17640441|17640727:+@chr22:17646159:17646335:+,antisense,CECR5-AS1,"ENST00000431923.1,ENST00000329743.3","ENST00000329743,ENST00000431923",ENSG00000185837,ENSG00000185837.3,A5SS,False,False,False,False,False,False,False,ENSG00000185837
chr22:17810900:17811786:-@chr22:17810671:17810899:-,,,,,,,TANDEMUTR,,,,,,,,
chr22:17983879:17984048:+@chr22:17990845:17990928:+@chr22:18003144:18003297:+,protein_coding,CECR2,"ENST00000400573.5,ENST00000262608.8,ENST00000342247.5,ENST00000400585.2","ENST00000262608,ENST00000400573,ENST00000342247,ENST00000400585",ENSG00000099954,ENSG00000099954.14,SE,False,False,False,False,False,False,False,ENSG00000099954
chr22:18003144:18003297|18003357:+@chr22:18016792:18016921:+,protein_coding,CECR2,"ENST00000400573.5,ENST00000262608.8,ENST00000342247.5,ENST00000400585.2","ENST00000262608,ENST00000400573,ENST00000342247,ENST00000400585",ENSG00000099954,ENSG00000099954.14,A5SS,False,False,False,False,False,False,False,ENSG00000099954
chr22:18003144:18003353:+@chr22:18016788|18016794:18016921:+,protein_coding,CECR2,"ENST00000400585.2,ENST00000262608.8,ENST00000342247.5,ENST00000400573.5","ENST00000262608,ENST00000400573,ENST00000342247,ENST00000400585",ENSG00000099954,ENSG00000099954.14,A3SS,False,False,False,False,False,False,False,ENSG00000099954
chr22:18021846:18022692:+@chr22:18027838|18027841:18029254:+,protein_coding,CECR2,"ENST00000400573.5,ENST00000262608.8,ENST00000400585.2","ENST00000262608,ENST00000400573,ENST00000400585",ENSG00000099954,ENSG00000099954.14,A3SS,False,False,False,False,False,False,False,ENSG00000099954
chr22:18027838:18029254:+@chr22:18029928:18030094:+@chr22:18031716:18031827:+,protein_coding,CECR2,"ENST00000400573.5,ENST00000400585.2,ENST00000355219.3,ENST00000262608.8","ENST00000355219,ENST00000262608,ENST00000400573,ENST00000400585",ENSG00000099954,ENSG00000099954.14,SE,False,False,False,False,False,False,False,ENSG00000099954
chr22:18043183:18043413:+@chr22:18049989:18050051:+@chr22:18062511:18062730:+,protein_coding,SLC25A18,"ENST00000399813.1,ENST00000497401.1,ENST00000327451.6,ENST00000467228.1,ENST00000496051.1","ENST00000399813,ENST00000467228,ENST00000497401,ENST00000496051,ENST00000327451",ENSG00000182902,ENSG00000182902.9,SE,False,False,False,False,False,False,False,ENSG00000182902
chr22:18095578:18095644:-@chr22:18083858:18083947:-@chr22:18082793:18082861:-,protein_coding,ATP6V1E1,"ENST00000253413.5,ENST00000399798.2,ENST00000399796.2,ENST00000481365.1,ENST00000413576.1,ENST00000484653.1","ENST00000481365,ENST00000413576,ENST00000484653,ENST00000399796,ENST00000253413,ENST00000399798",ENSG00000131100,ENSG00000131100.8,SE,False,False,False,False,False,False,False,ENSG00000131100
chr22:18102227:18102292:-@chr22:18101800:18101893:-@chr22:18095977:18096086:-,protein_coding,ATP6V1E1,"ENST00000253413.5,ENST00000399798.2,ENST00000399796.2,ENST00000481365.1,ENST00000413576.1,ENST00000460085.1,ENST00000484653.1,ENST00000478963.1","ENST00000481365,ENST00000413576,ENST00000460085,ENST00000484653,ENST00000478963,ENST00000399796,ENST00000253413,ENST00000399798",ENSG00000131100,ENSG00000131100.8,SE,False,False,False,False,False,False,False,ENSG00000131100
chr22:18111369:18111588:-@chr22:18102227:18102292:-@chr22:18095977:18096086:-,protein_coding,ATP6V1E1,"ENST00000253413.5,ENST00000399798.2,ENST00000399796.2,ENST00000481365.1,ENST00000413576.1,ENST00000460085.1,ENST00000484653.1,ENST00000478963.1","ENST00000481365,ENST00000413576,ENST00000460085,ENST00000484653,ENST00000478963,ENST00000399796,ENST00000253413,ENST00000399798",ENSG00000131100,ENSG00000131100.8,SE,False,False,False,False,False,False,False,ENSG00000131100
chr22:18121350:18121652:+@chr22:18138428:18138598:+@chr22:18165980:18166087:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000493680.1,ENST00000464649.1,ENST00000317582.5,ENST00000337612.5,ENST00000399781.1,ENST00000498133.1,ENST00000538149.1,ENST00000418951.2,ENST00000543133.1","ENST00000317582,ENST00000543133,ENST00000418951,ENST00000355028,ENST00000464649,ENST00000337612,ENST00000399782,ENST00000399781,ENST00000493680,ENST00000538149,ENST00000498133",ENSG00000099968,ENSG00000099968.13,SE,False,False,False,False,False,False,False,ENSG00000099968
chr22:18121350:18121652:+@chr22:18138428:18138598:+@chr22:18165980:18166087:+@chr22:18185009:18185152:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000493680.1,ENST00000464649.1,ENST00000317582.5,ENST00000337612.5,ENST00000399781.1,ENST00000498133.1,ENST00000538149.1,ENST00000418951.2,ENST00000543133.1,ENST00000399777.1","ENST00000317582,ENST00000543133,ENST00000418951,ENST00000355028,ENST00000464649,ENST00000399777,ENST00000337612,ENST00000399782,ENST00000399781,ENST00000493680,ENST00000538149,ENST00000498133",ENSG00000099968,ENSG00000099968.13,MXE,False,False,False,False,False,False,False,ENSG00000099968
chr22:18138428:18138598:+@chr22:18145665:18145779:+@chr22:18165980:18166087:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000493680.1,ENST00000464649.1,ENST00000498133.1,ENST00000337612.5,ENST00000399781.1,ENST00000317582.5,ENST00000538149.1,ENST00000418951.2,ENST00000543133.1","ENST00000317582,ENST00000543133,ENST00000418951,ENST00000355028,ENST00000464649,ENST00000337612,ENST00000399782,ENST00000399781,ENST00000493680,ENST00000538149,ENST00000498133",ENSG00000099968,ENSG00000099968.13,SE,False,False,False,False,False,False,False,ENSG00000099968
chr22:18138428:18138598:+@chr22:18165980:18166087:+@chr22:18185009:18185152:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000493680.1,ENST00000464649.1,ENST00000498133.1,ENST00000337612.5,ENST00000399781.1,ENST00000317582.5,ENST00000538149.1,ENST00000418951.2,ENST00000543133.1,ENST00000399777.1","ENST00000317582,ENST00000543133,ENST00000418951,ENST00000355028,ENST00000464649,ENST00000399777,ENST00000337612,ENST00000399782,ENST00000399781,ENST00000493680,ENST00000538149,ENST00000498133",ENSG00000099968,ENSG00000099968.13,SE,False,False,False,False,False,False,False,ENSG00000099968
chr22:18138428:18138598:+@chr22:18165980:18166087:+@chr22:18185009:18185152:+@chr22:18209443:18213621:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000493680.1,ENST00000464649.1,ENST00000498133.1,ENST00000337612.5,ENST00000485631.1,ENST00000399781.1,ENST00000317582.5,ENST00000538149.1,ENST00000418951.2,ENST00000543133.1,ENST00000399777.1","ENST00000317582,ENST00000543133,ENST00000485631,ENST00000418951,ENST00000355028,ENST00000464649,ENST00000399777,ENST00000337612,ENST00000399782,ENST00000399781,ENST00000493680,ENST00000538149,ENST00000498133",ENSG00000099968,ENSG00000099968.13,MXE,False,False,False,False,False,False,False,ENSG00000099968
chr22:18165980:18166087:+@chr22:18167375:18167472:+@chr22:18171752:18171908:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000493680.1,ENST00000464649.1,ENST00000498133.1,ENST00000337612.5,ENST00000399781.1,ENST00000317582.5,ENST00000418951.2,ENST00000543133.1","ENST00000317582,ENST00000543133,ENST00000418951,ENST00000355028,ENST00000464649,ENST00000337612,ENST00000399782,ENST00000399781,ENST00000493680,ENST00000498133",ENSG00000099968,ENSG00000099968.13,SE,False,False,False,False,False,False,False,ENSG00000099968
chr22:18165980:18166087:+@chr22:18171752:18171908:+@chr22:18178907:18178976:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000493680.1,ENST00000464649.1,ENST00000498133.1,ENST00000337612.5,ENST00000399781.1,ENST00000317582.5,ENST00000418951.2,ENST00000543133.1","ENST00000317582,ENST00000543133,ENST00000418951,ENST00000355028,ENST00000464649,ENST00000337612,ENST00000399782,ENST00000399781,ENST00000493680,ENST00000498133",ENSG00000099968,ENSG00000099968.13,SE,False,False,False,False,False,False,False,ENSG00000099968
chr22:18165980:18166087:+@chr22:18171752:18171908:+@chr22:18178907:18178976:+@chr22:18185009:18185152:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000493680.1,ENST00000464649.1,ENST00000498133.1,ENST00000337612.5,ENST00000399781.1,ENST00000317582.5,ENST00000538149.1,ENST00000418951.2,ENST00000543133.1,ENST00000399777.1","ENST00000317582,ENST00000543133,ENST00000418951,ENST00000355028,ENST00000464649,ENST00000399777,ENST00000337612,ENST00000399782,ENST00000399781,ENST00000493680,ENST00000538149,ENST00000498133",ENSG00000099968,ENSG00000099968.13,MXE,False,False,False,False,False,False,False,ENSG00000099968
chr22:18165980:18166087:+@chr22:18171752:18171908:+@chr22:18178907:18178976:+@chr22:18209443:18213621:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000493680.1,ENST00000464649.1,ENST00000498133.1,ENST00000337612.5,ENST00000485631.1,ENST00000399781.1,ENST00000317582.5,ENST00000538149.1,ENST00000418951.2,ENST00000543133.1,ENST00000399777.1","ENST00000317582,ENST00000543133,ENST00000485631,ENST00000418951,ENST00000355028,ENST00000464649,ENST00000399777,ENST00000337612,ENST00000399782,ENST00000399781,ENST00000493680,ENST00000538149,ENST00000498133",ENSG00000099968,ENSG00000099968.13,MXE,False,False,False,False,False,False,False,ENSG00000099968
chr22:18165980:18166087:+@chr22:18171752:18171908:+@chr22:18185009:18185152:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000493680.1,ENST00000464649.1,ENST00000498133.1,ENST00000337612.5,ENST00000399781.1,ENST00000317582.5,ENST00000538149.1,ENST00000418951.2,ENST00000543133.1,ENST00000399777.1","ENST00000317582,ENST00000543133,ENST00000418951,ENST00000355028,ENST00000464649,ENST00000399777,ENST00000337612,ENST00000399782,ENST00000399781,ENST00000493680,ENST00000538149,ENST00000498133",ENSG00000099968,ENSG00000099968.13,SE,False,False,False,False,False,False,False,ENSG00000099968
